congress_number,bounds_width,bounds_height,bounds_area,overlap_pairs,feature_count
1,18.407890,24.500894,451.009756,7,13
2,18.407890,24.500894,451.009756,7,13
3,23.536341,24.603414,579.074345,14,15
4,23.536341,24.603414,579.074345,14,15
5,23.536341,24.603414,579.074345,14,15
6,23.536341,24.603414,579.074345,14,15
7,23.536341,24.603414,579.074345,14,15
8,24.820904,25.183889,625.086894,20,17
9,24.820904,25.183889,625.086894,20,17
10,24.820904,25.183889,625.086894,20,17
11,24.820904,25.183889,625.086894,20,17
12,24.820904,25.183889,625.086894,20,17
13,27.747207,27.017131,749.649903,23,18
14,27.747207,27.017131,749.649903,23,18
15,27.747207,27.017131,749.649903,23,18
16,27.747207,27.017131,749.649903,23,18
17,27.747207,27.017131,749.649903,23,18
18,27.991109,28.286049,791.757881,29,24
19,27.991109,28.286049,791.757881,29,24
20,27.991109,28.286049,791.757881,29,24
21,27.991109,28.286049,791.757881,29,24
22,27.991109,28.286049,791.757881,29,24
23,28.183049,28.446939,801.721479,37,24
24,28.183049,28.446939,801.721479,37,24
25,28.183049,28.446939,801.721479,37,24
26,28.183049,28.446939,801.721479,37,24
27,28.183049,28.446939,801.721479,37,24
28,28.546705,28.408905,810.980616,30,26
29,28.546705,28.408905,810.980616,30,26
30,28.546705,28.408905,810.980616,30,26
31,28.546705,28.408905,810.980616,30,26
32,28.546705,28.408905,810.980616,30,26
33,45.193270,31.289459,1414.072966,29,31
34,45.193270,31.289459,1414.072966,29,31
35,45.193270,31.289459,1414.072966,29,31
36,45.193270,31.289459,1414.072966,29,31
37,45.193270,31.289459,1414.072966,29,31
38,46.135776,31.101490,1434.891370,28,34
39,46.135776,31.101490,1434.891370,28,34
40,46.135776,31.101490,1434.891370,28,34
41,46.135776,31.101490,1434.891370,28,34
42,46.135776,31.101490,1434.891370,28,34
43,46.261020,31.465644,1455.632775,41,37
44,46.261020,31.465644,1455.632775,41,37
45,46.261020,31.465644,1455.632775,41,37
46,46.261020,31.465644,1455.632775,41,37
47,46.261020,31.465644,1455.632775,41,37
48,46.380689,31.257729,1449.754988,43,38
49,46.380689,31.257729,1449.754988,43,38
50,46.380689,31.257729,1449.754988,43,38
51,46.380689,31.257729,1449.754988,43,38
52,46.380689,31.257729,1449.754988,43,38
53,46.763497,31.257729,1461.720704,46,44
54,46.763497,31.257729,1461.720704,46,44
55,46.763497,31.257729,1461.720704,46,44
56,46.763497,31.257729,1461.720704,46,44
57,46.763497,31.257729,1461.720704,46,44
58,46.873939,31.537154,1478.270638,50,45
59,46.873939,31.537154,1478.270638,50,45
60,46.873939,31.537154,1478.270638,50,45
61,46.873939,31.537154,1478.270638,50,45
62,46.873939,31.537154,1478.270638,50,45
63,47.289236,31.772720,1502.507669,56,48
64,47.289236,31.772720,1502.507669,56,48
65,47.289236,31.772720,1502.507669,56,48
66,47.289236,31.772720,1502.507669,56,48
67,47.289236,31.772720,1502.507669,56,48
68,47.289236,31.772720,1502.507669,56,48
69,47.289236,31.772720,1502.507669,56,48
70,47.289236,31.772720,1502.507669,56,48
71,47.289236,31.772720,1502.507669,56,48
72,47.289236,31.772720,1502.507669,56,48
73,47.186170,31.744264,1497.890228,54,48
74,47.186170,31.744264,1497.890228,54,48
75,47.186170,31.744264,1497.890228,54,48
76,47.186170,31.744264,1497.890228,54,48
77,47.186170,31.744264,1497.890228,54,48
78,47.252991,31.931893,1508.877456,54,48
79,47.252991,31.931893,1508.877456,54,48
80,47.252991,31.931893,1508.877456,54,48
81,47.252991,31.931893,1508.877456,54,48
82,47.252991,31.931893,1508.877456,54,48
83,47.507038,32.265034,1532.816201,52,48
84,47.507038,32.265034,1532.816201,52,48
85,47.507038,32.265034,1532.816201,52,48
86,47.507038,32.265034,1532.816201,52,48
87,47.507038,32.265034,1532.816201,52,48
88,47.614820,32.543952,1549.574395,48,50
89,47.614820,32.543952,1549.574395,48,50
90,47.614820,32.543952,1549.574395,48,50
91,47.614820,32.543952,1549.574395,48,50
92,47.614820,32.543952,1549.574395,48,50
93,47.805274,32.903418,1572.956928,47,50
94,47.805274,32.903418,1572.956928,47,50
95,47.805274,32.903418,1572.956928,47,50
96,47.805274,32.903418,1572.956928,47,50
97,47.805274,32.903418,1572.956928,47,50
98,47.758664,33.330609,1591.825351,44,50
99,47.758664,33.330609,1591.825351,44,50
100,47.758664,33.330609,1591.825351,44,50
101,47.758664,33.330609,1591.825351,44,50
102,47.758664,33.330609,1591.825351,44,50
103,47.877118,33.714736,1614.164406,44,50
104,47.877118,33.714736,1614.164406,44,50
105,47.877118,33.714736,1614.164406,44,50
106,47.877118,33.714736,1614.164406,44,50
107,47.877118,33.714736,1614.164406,44,50
108,47.910558,33.894230,1623.891477,43,50
109,47.910558,33.894230,1623.891477,43,50
110,47.910558,33.894230,1623.891477,43,50
111,47.910558,33.894230,1623.891477,43,50
112,47.910558,33.894230,1623.891477,43,50
113,47.778879,34.066677,1627.667626,42,50
114,47.778879,34.066677,1627.667626,42,50
115,47.778879,34.066677,1627.667626,42,50
116,47.778879,34.066677,1627.667626,42,50
117,47.778879,34.066677,1627.667626,42,50
118,47.745439,34.150504,1630.530780,42,50
119,47.745439,34.150504,1630.530780,42,50
